epoch,train_loss,val_loss
1,0.38532879688049276,0.3632363256860952
2,0.328481072122282,0.3595179042529539
3,0.3251305820729129,0.3574386043626754
4,0.32145324506829126,0.3582840802891007
5,0.31911915947830743,0.3574309840879805
6,0.31811545439105215,0.3580008592110514
7,0.316470348715565,0.3600821832164389
8,0.3147681924380457,0.35871849375995785
9,0.3142768867680284,0.3650660750970163
10,0.3141637072102837,0.36358555809396215
11,0.31143366356799296,0.36018445273566113
12,0.31069080480026634,0.3634312924791555
13,0.3088072509062095,0.3651144175581593
