epoch,train_loss,val_loss
1,0.6985542710144446,0.457995122736269
2,0.437465361450105,0.3872462847356588
3,0.40826382369943004,0.3685986229467913
4,0.38827957107069716,0.33763784463288354
5,0.3706001234944835,0.3122295530848816
6,0.35464473071428376,0.3083750016865183
7,0.34187491756536487,0.30147087012158064
8,0.33247883034317005,0.2997983380175028
9,0.3288620380321704,0.2935028414094383
10,0.3217659179521606,0.30344050125183303
11,0.30991439366601203,0.2971788602855688
12,0.30073765625936305,0.2945198093444272
13,0.2976031568315294,0.2893048212176464
14,0.290246109846294,0.28481471628113525
15,0.283954261892046,0.296787412399477
16,0.2794193888188277,0.29808323818152066
17,0.2794798019262394,0.29121853753191523
18,0.27491393770839345,0.31076498614634324
19,0.27414210952261975,0.2999783100081923
20,0.26706159359118975,0.29409301875393246
21,0.2673755486263386,0.28782115502109945
22,0.2660739128164038,0.2883923219038489
