feature,mean,std
V_N2_t-23,102.68027,53.163128
V_N2_t-22,103.40442,52.861115
V_N2_t-21,104.12857,52.54739
V_N2_t-20,104.85274,52.22174
V_N2_t-19,105.5769,51.88394
V_N2_t-18,106.1502,51.511345
V_N2_t-17,106.72352,51.129604
V_N2_t-16,107.313675,50.719303
V_N2_t-15,107.90383,50.298733
V_N2_t-14,108.49398,49.86763
V_N2_t-13,109.08414,49.425724
V_N2_t-12,109.500084,49.010983
V_N2_t-11,109.91604,48.58915
V_N2_t-10,110.32894,48.16672
V_N2_t-9,110.74184,47.73701
V_N2_t-8,111.15475,47.29977
V_N2_t-7,111.56764,46.85483
V_N2_t-6,111.790115,46.54438
V_N2_t-5,112.01258,46.230778
V_N2_t-4,112.220924,45.938713
V_N2_t-3,112.42929,45.643826
V_N2_t-2,112.63764,45.346066
V_N2_t-1,112.846,45.04537
V_N2_t-0,112.84569,45.05444
