scenario_id,source_file,scenario_type,num_rows,split
1,data_1.csv,normal,145,train
2,data_2.csv,normal,145,test
3,data_3.csv,normal,145,train
4,data_4.csv,normal,145,train
5,data_5.csv,normal,145,val
6,data_6.csv,normal,145,train
7,data_7.csv,normal,145,train
8,data_8.csv,normal,145,train
9,data_9.csv,normal,145,test
10,data_10.csv,normal,145,val
11,data_11.csv,persistent_leak,145,val
12,data_12.csv,persistent_leak,145,train
13,data_13.csv,persistent_leak,145,val
14,data_14.csv,persistent_leak,145,val
15,data_15.csv,persistent_leak,145,val
16,data_16.csv,onset_leak,145,test
17,data_17.csv,onset_leak,145,train
18,data_18.csv,onset_leak,145,train
19,data_19.csv,onset_leak,145,test
20,data_20.csv,onset_leak,145,train
21,data_21.csv,persistent_leak,145,train
22,data_22.csv,persistent_leak,145,train
23,data_23.csv,persistent_leak,145,train
24,data_24.csv,persistent_leak,145,train
25,data_25.csv,persistent_leak,145,test
26,data_26.csv,onset_leak,145,train
27,data_27.csv,onset_leak,145,train
28,data_28.csv,onset_leak,145,train
29,data_29.csv,onset_leak,145,train
30,data_30.csv,onset_leak,145,val
31,data_31.csv,persistent_leak,145,train
32,data_32.csv,persistent_leak,145,val
33,data_33.csv,persistent_leak,145,train
34,data_34.csv,persistent_leak,145,test
35,data_35.csv,persistent_leak,145,train
36,data_36.csv,onset_leak,145,train
37,data_37.csv,onset_leak,145,val
38,data_38.csv,onset_leak,145,train
39,data_39.csv,onset_leak,145,train
40,data_40.csv,onset_leak,145,val
41,data_41.csv,persistent_leak,145,test
42,data_42.csv,persistent_leak,145,test
43,data_43.csv,persistent_leak,145,train
44,data_44.csv,persistent_leak,145,train
45,data_45.csv,persistent_leak,145,train
46,data_46.csv,onset_leak,145,test
47,data_47.csv,onset_leak,145,train
48,data_48.csv,onset_leak,145,test
49,data_49.csv,onset_leak,145,val
50,data_50.csv,onset_leak,145,test
51,data_51.csv,persistent_leak,145,train
52,data_52.csv,persistent_leak,145,train
53,data_53.csv,persistent_leak,145,test
54,data_54.csv,persistent_leak,145,train
55,data_55.csv,persistent_leak,145,train
56,data_56.csv,onset_leak,145,train
57,data_57.csv,onset_leak,145,train
58,data_58.csv,onset_leak,145,train
59,data_59.csv,onset_leak,145,val
60,data_60.csv,onset_leak,145,train
