scenario_id,source_file,scenario_type,time_s,hour,V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9,leak_N10,leak_N11,leak_N12,leak_N13,leak_N14,label,leak_binary,leak_downstream_N2,leak_downstream_N8,leak_downstream_N9,leak_x,leak_y,leak_z,weekday_flag
1,data_1.csv,normal,0,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,600,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,1200,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,1800,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,2400,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,3000,0,18.5,3.0,10.0,1.5,4.0,18.5,5.5,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,3600,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,4200,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,4800,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,5400,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,6000,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,6600,1,12.5,3.0,4.0,1.5,4.0,12.5,5.5,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,7200,2,11.0,3.0,4.0,2.5159e-06,4.0,11.0,4.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,7800,2,11.002,3.0,4.0,0.0,4.0,11.002,4.0025,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,8400,2,11.007,3.0,4.0,0.0048288,4.0,11.007,4.007,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
1,data_1.csv,normal,9000,2,11.0,3.0,4.0,2.5159e-06,4.0,11.0,4.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
