epoch,train_loss,val_loss
1,0.4650187507027485,0.30945113225278525
2,0.36027729842397904,0.29294103899044416
3,0.3331919132794622,0.27296793254563934
4,0.3094456263506275,0.261969597816793
5,0.29090056624930777,0.2713227198070733
6,0.2788925599747885,0.2679393220631803
7,0.2678585515720018,0.25441324976841173
8,0.25472246124010484,0.24455117006092342
9,0.24986038960032414,0.24905114996845823
10,0.24520726343611188,0.2436435693545854
11,0.23843566477117786,0.244373247895953
12,0.23668834297455799,0.24084631200262324
13,0.2300530764085999,0.24235644579639418
14,0.2278163667132656,0.23026486180844855
15,0.22441842410154753,0.23926621309069337
16,0.22254269989461847,0.22508903320044116
17,0.21901213585353288,0.2403708920018486
18,0.21975551796234516,0.23982337303120366
19,0.21512301457094726,0.2298311346188486
20,0.2100480613776533,0.23138207867605873
21,0.21013877483375448,0.24584648391750993
22,0.20990618114299173,0.2269352702440894
23,0.20560245468316835,0.23106906672970193
24,0.20759950222647688,0.23198841818912
