epoch,train_loss,val_loss
1,0.7470673137023801,0.3832578461189739
2,0.5168013444580885,0.27993664389750994
3,0.48045082051028754,0.27053370794963316
4,0.4511144018998346,0.22767576754418878
5,0.4258826404321389,0.22581221456410455
6,0.40743797642937124,0.20346413292194324
7,0.38452221293049865,0.19953251650424603
8,0.3629699263362068,0.18371341121001322
9,0.35123316919217346,0.18801848488590106
10,0.3332161034011233,0.18111374554901175
11,0.32509049702646087,0.16521893079326452
12,0.3148537859564922,0.19607134407661
13,0.2997241554907328,0.18668501897424947
14,0.2955206934980139,0.1652369385615724
15,0.2960631976579274,0.1762384311830411
16,0.2838571174765762,0.15024906848786307
17,0.2789799590579799,0.14147019333363883
18,0.273842279051171,0.15711103683042396
19,0.27335958391807985,0.12461822793457678
20,0.2630417040788411,0.1354005170243034
21,0.2601158597755953,0.12834068780632618
22,0.2571362577555175,0.13881895202593725
23,0.2551323512538535,0.15154055385885995
24,0.25218123023844374,0.11188621405776733
25,0.25235830260973374,0.12469723818650663
26,0.24258345898871864,0.13938914650613493
27,0.23989690804959213,0.13457290801764185
28,0.24023104235122764,0.1152464902751107
29,0.2371307907724424,0.10164539841680578
30,0.2322470373143264,0.12622499627778766
31,0.23502163640571205,0.122030327503717
32,0.2294452431151993,0.12396502031695322
33,0.2260825200267611,0.1167684085870701
34,0.2226767938970868,0.11971608673532803
35,0.22503859260694578,0.1377535588082557
36,0.22077079451149278,0.12795476426110894
37,0.21940690262721535,0.12725628936877015
